START PCMV Test
FW>
Return to idle mode
R:fua=0,lba=(0x00b8dcc8,0x11)
R:fua=0,lba=(0x00d9dfe0,0x10)
R:fua=0,lba=(0x014a4d20,0x30)
R:fua=0,lba=(0x0113da58,0x40)
R:fua=0,lba=(0x00e707da,0x1)
R:fua=0,lba=(0x00f09d02,0x40)
R:fua=0,lba=(0x00e544a4,0x2)
R:fua=0,lba=(0x00d9de88,0x40)
R:fua=0,lba=(0x01143a38,0x40)
R:fua=0,lba=(0x00e544a1,0x3)
R:fua=0,lba=(0x00e707db,0x20)
R:fua=0,lba=(0x00d9dde8,0x40)
R:fua=0,lba=(0x00726ed8,0x8)
R:fua=0,lba=(0x00e707ca,0x10)
R:fua=0,lba=(0x00d9dd48,0x40)
R:fua=0,lba=(0x01140990,0x40)
R:fua=0,lba=(0x014a5588,0x40)
R:fua=0,lba=(0x014a4d90,0x40)
R:fua=0,lba=(0x014a5660,0x3e)
R:fua=0,lba=(0x00e70592,0x40)
R:fua=0,lba=(0x00ff6080,0x5f)
R:fua=0,lba=(0x014a4e90,0x40)
R:fua=0,lba=(0x00e7044a,0x40)
R:fua=0,lba=(0x01470d80,0x40)
R:fua=0,lba=(0x00ff60de,0x1)
R:fua=0,lba=(0x01470dc0,0x40)
R:fua=0,lba=(0x00e591ea,0x40)
R:fua=0,lba=(0x01464950,0x40)
R:fua=0,lba=(0x0113d610,0x40)
R:fua=0,lba=(0x01478e00,0x40)
R:fua=0,lba=(0x00d9de38,0x40)
R:fua=0,lba=(0x00e591aa,0x40)
R:fua=0,lba=(0x011435e0,0x40)
R:fua=0,lba=(0x00e5938a,0x40)
R:fua=0,lba=(0x01478d80,0x40)
R:fua=0,lba=(0x00d9df90,0x40)
R:fua=0,lba=(0x0113ce20,0x40)
R:fua=0,lba=(0x01478dc0,0x40)
R:fua=0,lba=(0x014648b8,0x38)
R:fua=0,lba=(0x01142da8,0x40)
R:fua=0,lba=(0x0072c1d0,0x8)
R:fua=0,lba=(0x01480e78,0x40)
R:fua=0,lba=(0x01464930,0x20)
R:fua=0,lba=(0x00e55622,0x3c)
R:fua=0,lba=(0x011407f8,0x40)
R:fua=0,lba=(0x014891c0,0x38)
R:fua=0,lba=(0x00e55685,0x1)
R:fua=0,lba=(0x00e55686,0x10)
R:fua=0,lba=(0x00ff5240,0x8)
R:fua=0,lba=(0x014a5600,0x40)
R:fua=0,lba=(0x00ff524a,0x40)
R:fua=0,lba=(0x00e5566b,0x1a)
R:fua=0,lba=(0x014a55c8,0x38)
R:fua=0,lba=(0x00ff57de,0x20)
